,region,age,2020
0,01 Stockholm county,16 years,4.6
1,01 Stockholm county,17 years,8.8
2,01 Stockholm county,18 years,17.8
3,01 Stockholm county,19 years,52.5
4,01 Stockholm county,20 years,112.0
5,01 Stockholm county,21 years,127.9
6,01 Stockholm county,22 years,147.1
7,01 Stockholm county,23 years,167.9
8,01 Stockholm county,24 years,191.8
9,01 Stockholm county,25 years,225.2
10,01 Stockholm county,26 years,257.1
11,01 Stockholm county,27 years,285.3
12,01 Stockholm county,28 years,308.6
13,01 Stockholm county,29 years,328.0
14,01 Stockholm county,30 years,344.9
15,01 Stockholm county,31 years,354.9
16,01 Stockholm county,32 years,364.1
17,01 Stockholm county,33 years,373.6
18,01 Stockholm county,34 years,385.3
19,01 Stockholm county,35 years,395.8
20,01 Stockholm county,36 years,405.9
21,01 Stockholm county,37 years,421.0
22,01 Stockholm county,38 years,432.8
23,01 Stockholm county,39 years,450.1
24,01 Stockholm county,40 years,456.9
25,01 Stockholm county,41 years,468.7
26,01 Stockholm county,42 years,475.4
27,01 Stockholm county,43 years,488.6
28,01 Stockholm county,44 years,508.0
29,01 Stockholm county,45 years,510.8
30,01 Stockholm county,46 years,523.7
31,01 Stockholm county,47 years,530.2
32,01 Stockholm county,48 years,532.9
33,01 Stockholm county,49 years,534.8
34,01 Stockholm county,50 years,527.2
35,01 Stockholm county,51 years,523.2
36,01 Stockholm county,52 years,522.1
37,01 Stockholm county,53 years,523.3
38,01 Stockholm county,54 years,504.2
39,01 Stockholm county,55 years,499.0
40,01 Stockholm county,56 years,492.6
41,01 Stockholm county,57 years,484.6
42,01 Stockholm county,58 years,476.4
43,01 Stockholm county,59 years,467.4
44,01 Stockholm county,60 years,461.9
45,01 Stockholm county,61 years,444.4
46,01 Stockholm county,62 years,437.0
47,01 Stockholm county,63 years,422.7
48,01 Stockholm county,64 years,408.0
49,01 Stockholm county,65 years,406.1
50,01 Stockholm county,66 years,404.4
51,01 Stockholm county,67 years,391.2
52,01 Stockholm county,68 years,379.4
53,01 Stockholm county,69 years,371.1
54,01 Stockholm county,70 years,348.2
55,01 Stockholm county,71 years,329.4
56,01 Stockholm county,72 years,320.5
57,01 Stockholm county,73 years,312.6
58,01 Stockholm county,74 years,306.0
59,01 Stockholm county,75 years,304.1
60,01 Stockholm county,76 years,289.4
61,01 Stockholm county,77 years,290.6
62,01 Stockholm county,78 years,281.8
63,01 Stockholm county,79 years,275.7
64,01 Stockholm county,80 years,266.9
65,01 Stockholm county,81 years,259.1
66,01 Stockholm county,82 years,261.6
67,01 Stockholm county,83 years,254.0
68,01 Stockholm county,84 years,249.5
69,01 Stockholm county,85 years,248.1
70,01 Stockholm county,86 years,241.8
71,01 Stockholm county,87 years,241.8
72,01 Stockholm county,88 years,240.7
73,01 Stockholm county,89 years,243.3
74,01 Stockholm county,90 years,240.7
75,01 Stockholm county,91 years,242.9
76,01 Stockholm county,92 years,233.4
77,01 Stockholm county,93 years,245.1
78,01 Stockholm county,94 years,232.2
79,01 Stockholm county,95 years,235.8
80,01 Stockholm county,96 years,236.2
81,01 Stockholm county,97 years,235.6
82,01 Stockholm county,98 years,222.2
83,01 Stockholm county,99 years,218.1
84,01 Stockholm county,100+ years,211.8
85,03 Uppsala county,16 years,5.0
86,03 Uppsala county,17 years,8.2
87,03 Uppsala county,18 years,17.4
88,03 Uppsala county,19 years,54.1
89,03 Uppsala county,20 years,106.6
90,03 Uppsala county,21 years,121.6
91,03 Uppsala county,22 years,132.2
92,03 Uppsala county,23 years,145.8
93,03 Uppsala county,24 years,166.7
94,03 Uppsala county,25 years,194.3
95,03 Uppsala county,26 years,219.1
96,03 Uppsala county,27 years,247.0
97,03 Uppsala county,28 years,268.0
98,03 Uppsala county,29 years,282.6
99,03 Uppsala county,30 years,294.8
100,03 Uppsala county,31 years,300.2
101,03 Uppsala county,32 years,309.3
102,03 Uppsala county,33 years,320.2
103,03 Uppsala county,34 years,326.0
104,03 Uppsala county,35 years,337.7
105,03 Uppsala county,36 years,349.9
106,03 Uppsala county,37 years,358.2
107,03 Uppsala county,38 years,369.5
108,03 Uppsala county,39 years,384.7
109,03 Uppsala county,40 years,399.0
110,03 Uppsala county,41 years,410.7
111,03 Uppsala county,42 years,413.9
112,03 Uppsala county,43 years,426.1
113,03 Uppsala county,44 years,438.8
114,03 Uppsala county,45 years,446.9
115,03 Uppsala county,46 years,445.9
116,03 Uppsala county,47 years,441.7
117,03 Uppsala county,48 years,445.5
118,03 Uppsala county,49 years,456.4
119,03 Uppsala county,50 years,447.7
120,03 Uppsala county,51 years,449.5
121,03 Uppsala county,52 years,443.2
122,03 Uppsala county,53 years,444.9
123,03 Uppsala county,54 years,441.0
124,03 Uppsala county,55 years,434.2
125,03 Uppsala county,56 years,437.9
126,03 Uppsala county,57 years,428.3
127,03 Uppsala county,58 years,429.5
128,03 Uppsala county,59 years,417.6
129,03 Uppsala county,60 years,412.3
130,03 Uppsala county,61 years,396.6
131,03 Uppsala county,62 years,405.6
132,03 Uppsala county,63 years,399.9
133,03 Uppsala county,64 years,381.5
134,03 Uppsala county,65 years,379.5
135,03 Uppsala county,66 years,374.9
136,03 Uppsala county,67 years,360.2
137,03 Uppsala county,68 years,343.8
138,03 Uppsala county,69 years,325.4
139,03 Uppsala county,70 years,310.1
140,03 Uppsala county,71 years,294.6
141,03 Uppsala county,72 years,288.1
142,03 Uppsala county,73 years,270.6
143,03 Uppsala county,74 years,272.6
144,03 Uppsala county,75 years,264.4
145,03 Uppsala county,76 years,264.0
146,03 Uppsala county,77 years,257.2
147,03 Uppsala county,78 years,251.7
148,03 Uppsala county,79 years,255.3
149,03 Uppsala county,80 years,240.9
150,03 Uppsala county,81 years,233.3
151,03 Uppsala county,82 years,234.0
152,03 Uppsala county,83 years,225.9
153,03 Uppsala county,84 years,223.8
154,03 Uppsala county,85 years,223.1
155,03 Uppsala county,86 years,214.7
156,03 Uppsala county,87 years,216.4
157,03 Uppsala county,88 years,211.0
158,03 Uppsala county,89 years,217.6
159,03 Uppsala county,90 years,209.9
160,03 Uppsala county,91 years,205.1
161,03 Uppsala county,92 years,209.0
162,03 Uppsala county,93 years,217.7
163,03 Uppsala county,94 years,205.4
164,03 Uppsala county,95 years,200.5
165,03 Uppsala county,96 years,186.1
166,03 Uppsala county,97 years,178.4
167,03 Uppsala county,98 years,197.7
168,03 Uppsala county,99 years,191.0
169,03 Uppsala county,100+ years,177.3
170,04 Södermanland county,16 years,4.2
171,04 Södermanland county,17 years,9.5
172,04 Södermanland county,18 years,19.8
173,04 Södermanland county,19 years,57.8
174,04 Södermanland county,20 years,117.9
175,04 Södermanland county,21 years,143.8
176,04 Södermanland county,22 years,163.0
177,04 Södermanland county,23 years,183.4
178,04 Södermanland county,24 years,200.4
179,04 Södermanland county,25 years,222.7
180,04 Södermanland county,26 years,244.4
181,04 Södermanland county,27 years,254.1
182,04 Södermanland county,28 years,261.3
183,04 Södermanland county,29 years,271.9
184,04 Södermanland county,30 years,275.9
185,04 Södermanland county,31 years,280.6
186,04 Södermanland county,32 years,287.9
187,04 Södermanland county,33 years,298.4
188,04 Södermanland county,34 years,307.6
189,04 Södermanland county,35 years,310.8
190,04 Södermanland county,36 years,320.5
191,04 Södermanland county,37 years,327.0
192,04 Södermanland county,38 years,338.7
193,04 Södermanland county,39 years,345.2
194,04 Södermanland county,40 years,353.5
195,04 Södermanland county,41 years,359.5
196,04 Södermanland county,42 years,359.5
197,04 Södermanland county,43 years,362.7
198,04 Södermanland county,44 years,375.4
199,04 Södermanland county,45 years,388.2
200,04 Södermanland county,46 years,391.9
201,04 Södermanland county,47 years,395.5
202,04 Södermanland county,48 years,401.1
203,04 Södermanland county,49 years,397.6
204,04 Södermanland county,50 years,389.3
205,04 Södermanland county,51 years,402.1
206,04 Södermanland county,52 years,405.1
207,04 Södermanland county,53 years,400.3
208,04 Södermanland county,54 years,389.9
209,04 Södermanland county,55 years,390.2
210,04 Södermanland county,56 years,386.4
211,04 Södermanland county,57 years,376.8
212,04 Södermanland county,58 years,369.5
213,04 Södermanland county,59 years,369.6
214,04 Södermanland county,60 years,360.4
215,04 Södermanland county,61 years,364.0
216,04 Södermanland county,62 years,360.4
217,04 Södermanland county,63 years,355.0
218,04 Södermanland county,64 years,346.3
219,04 Södermanland county,65 years,356.0
220,04 Södermanland county,66 years,332.3
221,04 Södermanland county,67 years,322.9
222,04 Södermanland county,68 years,312.9
223,04 Södermanland county,69 years,302.9
224,04 Södermanland county,70 years,285.9
225,04 Södermanland county,71 years,268.4
226,04 Södermanland county,72 years,257.2
227,04 Södermanland county,73 years,261.2
228,04 Södermanland county,74 years,248.0
229,04 Södermanland county,75 years,239.6
230,04 Södermanland county,76 years,237.9
231,04 Södermanland county,77 years,238.1
232,04 Södermanland county,78 years,234.6
233,04 Södermanland county,79 years,227.3
234,04 Södermanland county,80 years,221.2
235,04 Södermanland county,81 years,224.5
236,04 Södermanland county,82 years,215.6
237,04 Södermanland county,83 years,216.8
238,04 Södermanland county,84 years,218.3
239,04 Södermanland county,85 years,215.0
